Variant,Total_Problems,Solved_KKT,Success_Rate,Mean_Time_ms,Mean_Iterations
2P_APR0_BQ1_ATR0_URU0,535,218,40.74766355140187,156.05525838532108,39.325688073394495
2P_APR0_BQ1_ATR0_URU1,534,218,40.823970037453186,159.08599071559632,39.325688073394495
2P_APR1_BQ1_ATR0_URU0,534,218,40.823970037453186,159.19123222018345,39.325688073394495
2P_APR1_BQ1_ATR0_URU1,534,218,40.823970037453186,159.6616213073395,39.325688073394495
2P_APR1_BQ1_ATR1_URU0,534,213,39.8876404494382,284.6640370610329,39.375586854460096
2P_APR1_BQ1_ATR1_URU1,534,213,39.8876404494382,284.7343370140845,39.375586854460096
2P_APR0_BQ1_ATR1_URU1,534,213,39.8876404494382,285.126304629108,39.375586854460096
2P_APR0_BQ1_ATR1_URU0,534,213,39.8876404494382,285.25124330516434,39.375586854460096
2P_APR0_BQ0_ATR0_URU0_SQP_IDENTITY,535,202,37.75700934579439,165.28622864851485,40.43069306930693
2P_APR0_BQ0_ATR0_URU1_SQP_IDENTITY,534,202,37.82771535580524,168.92667245049503,40.43069306930693
2P_APR0_BQ0_ATR0_URU1_SQP_SPECTRAL,534,201,37.640449438202246,171.97030263681594,38.70646766169154
2P_APR0_BQ0_ATR0_URU0_SQP_SPECTRAL,535,201,37.570093457943926,173.87398543781097,38.70646766169154
2P_APR0_BQ0_ATR0_URU0,535,201,37.570093457943926,211.31504567661693,33.34825870646766
2P_APR0_BQ0_ATR0_URU1,534,201,37.640449438202246,211.63000647761194,33.34825870646766
2P_APR0_BQ1_ATR0_URU1_SQP_IDENTITY,534,199,37.265917602996254,770.7005548391957,42.94472361809045
2P_APR0_BQ1_ATR0_URU0_SQP_IDENTITY,535,199,37.19626168224299,784.8810540150752,42.94472361809045
2P_APR1_BQ1_ATR0_URU0_SQP_IDENTITY,534,199,37.265917602996254,791.7772747386934,42.94472361809045
2P_APR1_BQ1_ATR0_URU1_SQP_IDENTITY,534,199,37.265917602996254,793.1287902261307,42.94472361809045
2P_APR0_BQ1_ATR0_URU1_SQP_SPECTRAL,534,196,36.70411985018727,126.37709277551022,36.36224489795919
2P_APR0_BQ1_ATR0_URU0_SQP_SPECTRAL,535,196,36.63551401869159,127.15404443367346,36.36224489795919
2P_APR1_BQ1_ATR0_URU0_SQP_SPECTRAL,534,196,36.70411985018727,128.25492182653062,36.36224489795919
